Unnamed: 0,web-scraper-order,web-scraper-start-url,article,title,stance,perspective
2685,1580744430-198,https://www.debate.org/opinions/should-abortion-be-allowed,"The following is a list of side effects that are frequently experienced after an abortion. It is possible to experience these side effects for as long as 2 to 4 weeks following the procedure.
Abdominal pain and cramping
Nausea
Vomiting
Diarrhea
Spotting and bleeding
do you still want to get abortion?",Anticipated Physical Side Effects Following An Abortion,against,[7]
1898,1582735052-2434,https://www.debate.org/opinions/is-abortion-wrong,"The bible says ""Thou shalt not kill"" but we as humans do not listen for this is not true. You say it is so bad for this soon-to-be mother to take this child's life away. You don't realize they could be struggling or simply don't want to take care of it. Anti-abortion shouldn't even be a thing, it's not your choice what they do and you shouldn't say its incorrect because a stupid book said so. There is absolutely nothing wrong with abortion.","For a woman in struggling with debt, for a woman who was raped, for a woman who now realizes it was not a good idea.",for,[3]
1689,1582733723-274,https://www.debate.org/opinions/should-abortion-be-legal,"Abortion should be legalised! No matter what, the baby belongs to the mother. If the baby may ruin the mother's life then she has a choice to take abortion or not. The No side said that baby is a life and it has a choice to live. However, women is a life also! Being alive and has a life are two different things. If the baby died, who will be affected? Probably the family of the mother and father and both the couples but it is their choice to take abortion so this is not affected. So what about the mother died? Her family, her lover, her friends, many people will be affected. So having the abortion to kill the baby or ruin a women's life? This is obvious. Also the No side says God do this or God do that, the point is what about people who don't believe in God, like me? I don't believe in God so I think that your statement is nonsense(by the way, no offences.)",Women's right and Women's choice,for,[2]
2668,1580744430-233,https://www.debate.org/opinions/should-abortion-be-allowed,"(rape aside) If you don't want a baby don't get pregnant, Its a simple choice. My wife only gets pregnant when we want to. Therefore when a woman gets pregnant(rape aside) it was a choice, The choice was already made. So why are you able to rethink the choice? Did you get drunk? And had sex? And got pregnant? Because you wanted to. Therefore you pregnant because you made a CHOICE. If you use the pull out technique and get pregnant, You wanted to get pregnant. If you wore a condom improperly, You wanted to get pregnant. If you relied on birth control(which is really ineffective) then you wanted to get pregnant, Because you knew according to statistics if you had sex 100 times your going to get pregnant multiple times. If your a child, Then wtf were you parents doing? If your in Foster care because your parents are drug addicts, Or just didn't want you, You should be allowed to kill them, Not as revenge or murder but as justice. Because they failed in their one RESPONSIBILITY that is given to them by Nature, The animal instinct in humans, Or a divine purpose! Which ever reason atheist or religious abortion is unnatural and evil. As an Animal if you were to observe humans in a cave man scenario, Abortion wouldn't happen. Meaning aborting a fetus is going against the very nature of being human which means if your an Atheist its morally wrong. No one chooses what is right and wrong it is either decided by the universe hence human animals don't naturally kill their young. Therefor its evil to. Or your religious and your religion sets you morals.","Athiests morals come from what is natural. Abortion isn't, Therefore evil. You know the Christian argument already.",against,[25]
1085,1582734700-891,https://www.debate.org/opinions/should-abortion-be-illegal,"God made us who we are. Can you imagine an innocent baby being in so much pain. If the man and women wanted sex, they better accept the fact that they created a beautiful soul within. Indeed, those who murder babies are either scared or just cruel. In short, it isn't the baby's fault ever...And they deserve to LIVE.",Down with Abortion,against,[16]
370,1582734815-1374,https://www.debate.org/opinions/is-abortion-wrong,"It has been clearly demonstrated that life begins at conception.  The idea that we have to wait until the fetus can feel pain or has a heartbeat is beside the point.  Outside of some intervening factor, it will develop into a human, so, therefore, abortion is murder.  Furthermore, given the advances in medicine, there is virtually no reason for someone to become pregnant except by choice in this country.  By failing to take steps to prevent a pregnancy, and then choosing to have an abortion, we are punishing the unborn child for a mistake made not by them, but by one or both parents.  How would we all react if we knew of a case, only one, in which an innocent person were sentenced to die for the actions of someone over whom they had no control, simply because that person was irresponsible?  If abortions were banned, people would be forced to be more responsible about their behavior.",I believe that abortion is morally wrong and punishes the unborn for something they did not do.,against,[25]
964,1582734700-971,https://www.debate.org/opinions/should-abortion-be-illegal,"Comes your body comes big responsibility ladys. It's unconstitutional that a woman can aport parenthood and get its sweep under the table as if it never happen. Yes a man can walk out of a kid's life, but he will be accounted for and financially responsible for the child and looked at as a dead beat. Its un equal that a woman can get a free out of parent card but yet a father cannot",Unequal and unconstitutional,against,[25]
2162,1582734972-2139,https://www.debate.org/opinions/should-abortion-be-illegal,Women should not be forced to have children they dont want and cant take care of. Many mothers with plans would forever regret the child for the rest of their lives and thats unfair to the child. I was raped by an ex boyfriend and if he had made me pregnant I would never have wanted to keep a child that was created as a result of that and him but adoption would not have been an option as I couldnt have faced having my child not with me. Abortion means that women have the option to make sure they get it right. And you can never say just have safe sex as no method of contraception involving surgery is 100 percent effective. I have had miscarriages on the pill. Let women have the choice to have a child when they are ready not because of a mistake or an accident.,Its not fair to the mother or the baby.,for,[2]
2067,1582734972-2051,https://www.debate.org/opinions/should-abortion-be-illegal,"Indeed,abortion means killing of inborn child and its number should be decreased, some poor people are too hard to raise theire child. In Japan, there is a tendency that having unexpected baby is a bad thing, and it is a person's responsibility. So it is sometimes difficult to work again as a regular employee after woman having their children. To sum up, they have to work as an part-time worker, which salary is lower, while it costs a lot to raising child. Also, there is not enough nursery schools, so sometimes mothers give up to work again. In conclusion, the situation of mothers are very bad. What is worse, as I wrote there is a tendency that having unexpected baby is bad. In some case, mothers connot get support financially from their family. For these reasons, some poor mothers are even starving because it is too difficult for them to gain financial support. If abortion becomes illegal, more mothers will die from this, and as for the government, it is too irresponsible to illegalize it before saving such people.
(P.S) i am Japanese,and I wrote this opinion based on Japanese current situation. If your country have a good support for the poor and mothers I think it is fantastic, and I think abortion can be illegai in such country.",The lack of social security for raising child,for,[7]
1335,1582734815-1543,https://www.debate.org/opinions/is-abortion-wrong,"Why is abortion OK if murdering someone isn't?   Isn't that the same thing ? You are killing a human being even though it has not been born it's still human. So why is it ok for mother's to abort there child but so wrong for people to kill each other. That unborn baby is still a human, and is alive just like everyone else on this planet.",It's Just like murder,against,[16]
2304,1582735052-2463,https://www.debate.org/opinions/is-abortion-wrong,"Abortion is not wrong. It's very simple, really. Fetuses aren't conscious, and they don't feel any pain. Morality should based on suffering, not some religion that has no evidence to support its truth. Yes, a fetus is technically ""alive"". But so are tumors and bacteria. A fetus isn't a person. Get over it.",It's not wrong.,for,[3]
1201,1582734700-1029,https://www.debate.org/opinions/should-abortion-be-illegal,"Life is precious, I know u might say it was ur only option but it was not. If ur mom took u to pieces you wouldnt be alive to say these things about killing   innocent children. If u think abortion is so nice why dont u zoom back through time and get ur self aborted and have the experience.",Who ever said no is a murderer,against,[16]
1951,1582735052-2404,https://www.debate.org/opinions/is-abortion-wrong,"No i don't think abortion is wrong sense, sense there not even alive or thinking at that point. There not considered babies. A egg may be fertilized but it's not murder in my personal opinion abortion is not wrong. There's many good reason's why abortion is not wrong as people say it is. And many people are relying on emotion similar vegans protecting animals of being eaten as something like that.",Abortions is not wrong,for,[3]
2073,1582735052-2271,https://www.debate.org/opinions/is-abortion-wrong,"What does all this statistic mean? It means, more babies!

With so much discard filthy carriages coming out from the weaker sex. It is by far the only most justifiable way for us as alpha males to purge the weak and choose the stronger ones. With mental illness booming in asian countries that is the no: 1 cause of mental retardation such as this. It is no doubt that Abortion must be performed.

If not, then peace and harmony would come at a higher price! The choice, i leave it up to you!","Is right, when 60% have per-marital sex, Thales disease & 40% are HIV infected.",for,[7]
1814,1582735052-2579,https://www.debate.org/opinions/is-abortion-wrong,"A fetus is not human, it has a potential to become one. It is a human in making. One of the most frequent argument that is given by the pro-lifers is that the fetus could have had a proper life. If that's what it makes it wrong enough to be illegal then what do you say about sexual abstinence and contraception? If you did not abstain or had protected sex, you could have given birth to a child. Each time when you use contraception, you deny life to that unborn child who would've taken birth if you hadn't! In this case also a potential human lost its chance to live! Is this tantamount to murder? By extension of the same logic one can say that each second we are not reproducing, we are committing murder. The fallacy of the argument is clear.
In my opinion, abortion should be avoided at all costs but it should be legal. An unwanted baby becomes the source of misery for both the parents and itself. Parents should have kids when they are ready to have them. When they are financially sound and are able to provide the baby a happy and cheer-full environment.",Abortion is not murder.,for,[3]
1854,1582735052-2589,https://www.debate.org/opinions/is-abortion-wrong,I don't think abortion is wrong.   But I don't know if its right either. But I do believe every woman should have the right to choose what to do with her own body. Its not an easy decision for any female to make.   I am not in position to judge anyone else or their circumstances.,A very complex subject matter,for,[2]
493,1582734815-1300,https://www.debate.org/opinions/is-abortion-wrong,"I believe that abortion is illegal because it is killing a humans life before it has even began. Who is it to say that the baby shouldn't even have the chance to live? If the parents are old enough to have sex and the girl gets pregnant, then those parents need to be responsible and own up to raising that child. Even if it does happen by accident, it's still killing a child.",Abortion is wrong,against,[16]
2193,1582735059-2688,https://www.debate.org/opinions/should-abortion-be-illigal,"""I do not believe that just because you're opposed to abortion, that it makes you pro-life. In Fact, I think in many cases, your morality is deeply lacking if all you want is a child born but not a child fed, not a child educated, not a child housed. And why would I think that you don't? Because you don't want any tax money to go there.

That's not Pro-life. That's pro-Birth. We need a much broader conversation on what the morality of pro-life is. "" - Sister Joan Chittister Benedictine Nun,",I am Pro-Life not Pro-Birth.,for,[7]
1581,1582733723-93,https://www.debate.org/opinions/should-abortion-be-legal,"The government makes it mandatory to know the pledge of allegiance in order for immigrants to become citizens. ""for liberty and justice for all"" it says, liberty... Sweet sweet liberty. We as United States Citizens are told we live in a ""free country"" yet we are constantly controlled on what we can and cannot do. Abortion is one of them. Abortion is NOT murder, if the fetus is under 24 weeks its not capable of surviving outside of the uterus, meaning it won't survive. Women should have the choice on what they do with their bodies! Pregnancy is not fun and not enjoyable! Also, if you say a under 24   week fetus is a potential human being then that mean an embryo is one as well. Women menstruate EVERY SINGLE MONTH. Does that mean our body is disposing of our babies? Also, Chemotherapy KILLS embryo does that mean treating cancer is genocide among our babies? Storing embryo is very risky once you recover from cancer the embryo may NOT   be viable meaning it may not be able to be fertilized. Does that mean in that process genocide was committed? Are you saying to stop cancer treatment? Women MUST have the ability to say what is done to their bodies. No one ESPECIALLY   the government should have a say in what we do to our bodies. They let people kill themselves from alcohol and prescription drugs and cigarettes. Religion and the government need to stay separate. Women need to have a say as to what they allow their bodies to go trough. NO MEANS NO.",Yes! We are not Robots!,for,[2]
2294,1582735052-2406,https://www.debate.org/opinions/is-abortion-wrong,"That's just it. They even have the right to cut themselves open, or kill themself on the spot, it's their body. The baby is just housing it. So it's technically like a building. I'm not proud of saying it, but it's their choice. Who are we to not say so. We can't take a person's free will.",It's their choice,for,[2]
118,1582733949-483,https://www.debate.org/opinions/is-abortion-moral,"A woman can do whatever she wants with her body, yes. However, a fetus is as separate from its mother as you are from yours. When a person asks a pregnant mother how her child is doing they don't ask ""How is your body?"" they ask ""How is your baby?"". Using this argument along with the fact that all living creatures deserve rights protecting their lives (including animals that are non-human), you have an irrefutable clause suggesting that a pregnant mother cannot impede on the fetus' right to live.",The mother is separate from the fetus,against,[17]
1378,1582733723-336,https://www.debate.org/opinions/should-abortion-be-legal,"Sometimes its rape or incest that would facilitate this type of action - but some people cannot raise a child and do not want to try, and they should have a choice before they bring someone they cant care for into the world. Abortion should be available and should be a choice that someone can take - we should stop being so blind to the truth that some people just cant or won't raise their children, so we need to have facilities where someone can safely have this done.",A person has a choice,for,[11]
252,1582733949-486,https://www.debate.org/opinions/is-abortion-moral,"Even those who argue with ""scientific facts"" to back up their pro-abort agenda can no deny that the heart of a human fetus begins to beat at approximately 18 days post conception.
It does not matter how small the fetus is, it does not matter how it got there. Beating hearts are pretty hard to deny. Why is a person declared dead when their heart stops and yet not considered alive when it begins to beat?
That fetus is a developing HUMAN. A baby. An innocent life.
Stopping it's heart beat because you so desire to is killing in cold blood. 
If an unborn baby is killed in a car crash, the person is charged with vehicular manslaughter. So what difference does the cause of death make?
Vehicular accident or abortion, it's still the death of a baby.
If you can be charged for an accident, ending the life of a developing human on purpose should be cause for even more sever charges.",Stopping a human heart is murder no matter how you look at it.,against,[17]
2248,1582735052-2425,https://www.debate.org/opinions/is-abortion-wrong,"If a girl is raped and she doesn't want her baby then she shouldn't be forced to actually have it she should have a way to terminate the pregnancy. If someone doesn't want their foot anymore, who's gonna stop them from cutting it off? If you woman doesn't want her baby anymore, no one should ever stop her from having the abortion.",Abortions are okay,for,[11]
1188,1582734700-1118,https://www.debate.org/opinions/should-abortion-be-illegal,Abortion law is a law to murder   . A law that needs to be gone forever . They are saying these days that guns are killing our children ....?Now stop back and see the truth....The law for abortion has killed over 58 million babies and to me has stopped Gods breath . Now look real close.....Not one of these babies was shot by a gun . Shame on our law on abortion.Shame on our law   makers who needs to abolish this law .Murder is murder .,God first   breathed life into a child genesis   2: 7,against,[16]
1851,1582735067-2701,https://www.debate.org/opinions/do-you-think-abortion-is-wrong,"Abortion, by our current legal and medical understandings, isn't wrong, and there's a lot of ignorance floating around on the subject, and a lot of intentional misinformation too. (like this wonderfully biased picture in the opinion head)

Neither science nor religion can come to a consensus on when a fetus becomes a human, but science makes a very good argument that viability, at it's earliest, is 24 weeks. 

To suggest that it's still part of the mothers body until 24 weeks but than refuse her right for bodily autonomy is to grant more rights to corpses than we do to women. 

I don't want to live in a society that places more rights on my dead body than it would on a healthy breathing woman, and I hope you don't either. 

Unless there's compelling evidence to suggest a fetus becomes viable before that timetable, this is my reasoning.",Not according to legislation or science.,for,[3]
1930,1582734972-1998,https://www.debate.org/opinions/should-abortion-be-illegal,"Many make the claim that abortion is murder because it's killing living cells. If that's the case, then men commit genocide every time they masturbate, as they're killing several thousands of living sperm cells; women are committing murder every time they have their periods, as they're flushing a living egg. People commit murder when they exfoliate their face as they're killing millions of living skin cells. If you're going to make the argument that it's murder because you're killing living cells, then you're a murder by your own right.",Abortion should be legal,for,[3]
2003,1582735052-2235,https://www.debate.org/opinions/is-abortion-wrong,"It doesn't even matter, mind your own business. If a woman wants an abortion, let her have one. If she suffers from depression afterward, that's her own fault. Is it hurting you? No, so why should you worry about it?  You shouldn't because its not your body, not your decision.",Does it matter.,for,[2]
1354,1582734815-1614,https://www.debate.org/opinions/is-abortion-wrong,"In almost all cases, women do have a choice. They can choose to use protection, and if none is available, they can choose not to have sex. Abortion is not a woman's choice because it isn't her body that is being murdered. Imagine all of the lives that could have been saved if the child had not been aborted",Abortion is very wrong.,against,[25]
1469,1582733723-116,https://www.debate.org/opinions/should-abortion-be-legal,Is it really going to live happy in a broke moms house with a drunk ass father and a terrible house. No my friends it is not. Give a good life to a baby. Don't get raped. Stay safe out there. Don't do drugs kids. Don't get raped. Peach out!!!!,The baby needs a good life. Come on!!!,for,[7]
2127,1582734972-2153,https://www.debate.org/opinions/should-abortion-be-illegal,"I'm not saying that it's a great idea, I mean there are other options. But if you were raped, molested, have some sort of organ eating baby inside you, or just made a mistake, then I think the choice should always be available to you. Also if you think about it, that's taking away a women's right to her own body. A dead person would have more rights to their body then a women... A DEAD PERSON!","It's her body, her choice.",for,[2]
450,1582734815-1306,https://www.debate.org/opinions/is-abortion-wrong,"The fetus is a viable, human being, and is, in my opinion, a member of society. The rights of the human fetus trump the ""right"" of a woman to choose whether to kill it or not. Bottom line, the fetus is alive, it is human, and so it does deserve the right to life.",Yes,against,[17]
2607,1580744693-375,https://www.debate.org/opinions/should-abortion-stay-legal,"Yes, I believe that abortion should remain legal. The decision to have a child is a big one and many times they are not planned. In some cases they are a result of a violent crime. I believe up to a certain time of the pregnancy, if a person is not willing or unable to care for a child, then they should have the right to terminate the pregnancy.",Abortion is a personal choice,for,[7]
1407,1582733674-28,https://www.debate.org/opinions/is-abortion-moral,I won't chain myself with something i don't want my psychology isnt in the right state am i glad i did a abortion once to all th girls don't listen to those clowns they don't have vagina. . . They don't know my mum said to me how sad your life can be after children my father was alcoholic and abusive i had a sad and full of fear childhood she should had abort me the thing is no one knows what your life is and if you can raise a child so if you don't want it just choose abortion there is nothing bad at it. . The only bad is the after thing yhat happens if a child grow up in a toxic environment,Its our right to fo whatever we want,for,[11]
1294,1582734700-1158,https://www.debate.org/opinions/should-abortion-be-illegal,Why must one suffer for the doing of another? You can't forget a rape nor solve one by killing a fetus. That new life has done nothing wrong to you. I understand if you get pregnant at a very young age. But I feel that if you can have the baby. Then have it. Don't kill it.,Unfair To Humanity.,against,[16]
2208,1582735052-2255,https://www.debate.org/opinions/is-abortion-wrong,"For the people reading this, a majority of you will follow a religion where you strongly believe that abortion is simply wrong. That its murder. That the women who choose to end the develpent of a growing fetus are cruel and heartless. But it's not so black and white. 

I have no doubt that at this very moment women all around the world are making the extremely tough decision of having an abortion. Supposedly ""ending"" a life. But how can something that hasnt been born die? Birth is dated from the minute the child is BORN, not conceited. 

I believe that women should have a choice. Not only because it's their body, but also because the upbringing of a child is not just an easy 9 month long period with a extremely painful labour, but also every moment after birth. The mothers life does not only belong to them anymore, they have someone else to look after as well as themselves. 

To many, having a child is a great thing. Especially when the person is financially secure, but what about the ones who are not? 

You might be thinking ""well if they are not in the possession of money and can't handle a child they should stop sleeping around"" and yes. You would be right. A small number of abortions do occur due to carelessness but there are other ways a women can burden an un-wanted pregnancy. Rape, the first one coming to my mind. What are some others coming to yours?

Although this topic is controversial, I would like to say abortion is not something most women take lightly. It's not as simple as a few people might think. Women don't just walk into abortion clinics and go ""there's a fetus inside me, let's kill it because I don't feel like one right now"" 

Have any of you ever had that perfect image of how your life would be in the future? Perhaps a beautiful house on the outskirts of the city, a big backyard lush with freshly mowed grass courtesy of your partner, your child playing happily with endless glee.

Is it not possible a women would Rather want this kind of lifestyle (or something in their own perspective) for their child? Is it not possible that it's not just a ""selfish decision "" but a reasonable one that should not be judged? Is it possible that a women could   willingly 'murder' the growing in her body without a second thought? 

I'm not saying it isn't possible, but im trying to show people that... Maybe,   a women is capable of making the decision on wether she can take care and nurture a child after birth, and if she can't she should be able to abort without being judged on her decision. 

A women could be in one of many circumstances where she just can't have a kid. Isnt forcing her into having a child she knows she cannot   provide the needs for   just as bad as the termination?",Abortion is not simply wrong,for,[2]
1902,1582734972-2130,https://www.debate.org/opinions/should-abortion-be-illegal,"It's the woman's choice whether she wants to have a baby or not. If the woman wanted a baby, she would have sex and try to get pregnant intentionally. If the woman was raped by someone, she never was planning on having a child and so she should be able to get an abortion. What if she was using a condom and it broke? Then she was having safe sex and wasn't expecting pregnancy. It wouldn't be her fault at all. If the woman gives the child up for adoption, there's a chance that they can be put in the wrong family that maybe doesn't accept them. Also what if the woman is too young to care for a child? Like, if she's doing school or can't financially support them. It's better to just let the woman do whatever she wants with her body and have an abortion than letting the child possibly be miserable.","Abortion is the woman's choice, not someone else's.",for,[2]
2500,1580225173-158,https://www.debate.org/opinions/do-women-have-the-right-to-abortion,"The 'my body my choice' argument is one of the weakest I have ever heard. When you're talking about abortion, you're talking about the destruction of another separate human life. This is another human body, not JUST yours. I could apply the 'my body my choice' argument to me choosing to use my arm to pick up a knife and stab someone in the face because it's my choice to do what I want with my arm. Anyone could see this is a terrible argument, because I'm not just affecting my body.",It's not just your body you're dealing with.,against,[16]
391,1582734815-1670,https://www.debate.org/opinions/is-abortion-wrong,"https://youtu.be/Yx3jACKqTqs
Tell me that's not a human being struggling to survive. Abortion is murder plain and simple. The fetus is alive at that point, and can move. If you belueve in souls than around that time ( 3 months )is when I think it is developed. At the very least if not a soul then at 3 months it's pretty much a living being",I saw a video of a 3 month fetus,against,[16]
594,1582734700-1033,https://www.debate.org/opinions/should-abortion-be-illegal,"It's still murder no matter what you're stopping a beating heart its no different then someone shooting another human, so saying that abortion isn't murder should those people who are in prison for killing children an babies be freed?   What about those men an women who took that babies life, the baby never even had a chance to have a childhood! So those babies that you are aborting won't have a chance to have a childhood. Worst case scenario have the baby then put them for adoption if you we're raped instead of aborting the child. Wake up an grow up!!!",It's still murder no matter what!,against,[16]
1499,1582733723-219,https://www.debate.org/opinions/should-abortion-be-legal,"Abortion should be legalized, but should only be used under extreme circumstances.
For instance, if a woman is raped and becomes pregnant she would be
allowed to have an abortion.
However, if the woman was under 18 she would need parent's consent, and if the say no
she would not be allowed to an abortion.",Abortion should be legalized but....,for,[2]
2167,1582735052-2595,https://www.debate.org/opinions/is-abortion-wrong,"It is the women's body there for she should have the choice to abort her child. As well as the government should have no say in such an important decision of the mother and father of the fetus, which is not yet an actual baby. Letting a baby be born into an unwanted life is cruel and later can lead to neglect.",Women and babies,for,[2]
1647,1582733723-131,https://www.debate.org/opinions/should-abortion-be-legal,Why would you want to force someone who doesn't want a child to have a child? Imagine how many more people there would be in the world. Unimaginable. I'm sure there are a lot of people you know who have had them and just didn't tell you. They're a lot more common than ya think.,Yassss of course,for,[11]
1357,1582734700-1063,https://www.debate.org/opinions/should-abortion-be-illegal,"Less than 3% of abortions happen because of rape. Most abortions are executed due to the life expectancy of the child's mother, not rape. If you were raped, you have my sympathy, put you have no right to murder a child. It's not justified, it's sickening, and you need help if you support this unjustified cause.",Rape is a unjust reason,against,[16]
514,1582734700-1045,https://www.debate.org/opinions/should-abortion-be-illegal,"You wouldnt murder your 4 year old kid? So why murder your 4 month old baby? It is the same thing. Murder.PEOPLE HAVE TO BE RESPONSIBLE. Lets say its from rape. The baby doesn't deserve to die. THE BABY DID NOTHING WRONG. Its the perpetrator that should be punished. Abortion does not end problems, only covers them up temporarily,   SO DON'T BE A COWARD AND LET THE INNOCENT LIFE LIVE.",Abortion = murder,against,[16]
910,1582734815-1765,https://www.debate.org/opinions/is-abortion-wrong,So It doesnt matter how old the baby is if we still consider it a baby while in the mom then when you have an abortion its killing the baby. So there for we should have abortion agents the law. I dont agree with aborting children no matter what age.,"When the baby is 5 months old and you kill it, thats murder. No different from when its 2 weeks old to 5 months old.",against,[16]
1691,1582733661-10,https://www.debate.org/opinions/are-you-with-or-against-abortion,"First of all, any woman has a right to choose what she does with her own body, especially in the case of rape or incest. If a woman wants to terminate her pregnancy for a good reason, people have no right to stop her. Fetuses are not people, as they are incapable of sentient thought and survival.",Right to choose and fetuses are not people,for,[7]
2041,1582735052-2507,https://www.debate.org/opinions/is-abortion-wrong,"A foetus is a parasite, it feeds off its host and the host receives no benefit from the foetus, also to say a woman can not terminate a pregnancy is like saying your growing an extra arm it's illegal to surgically remove it because it has its own mind, the foetus can not live outside the womb therefore it is not a person but a parasite till later stages of development, personally I believe that abortion is completely justified and is every woman's right, are we still living in the dark ages?",Abortion is woman's right,for,[3]
760,1582734827-1934,https://www.debate.org/opinions/do-you-think-abortion-is-wrong,Abortion is messed up it like going to a hospital and murdering all the babies if your not ready for a baby then dont get pregnet one of the 10 commandments it say you shall NOT     murder if you get an abortion it is murdering your child all that you are doing is MURDER thats it MURDER MURDER MURDER,Stop abortion now,against,[16]
1550,1582733723-256,https://www.debate.org/opinions/should-abortion-be-legal,"Most anti-abortion arguments are based off of religious beliefs. Chances are, there is a large population of our country that don't believe the same things you do. For those of us who believe that abortion is moral, should have access to abortion. Those of us who believe abortion is wrong, do not need to get an abortion, and should not take away that option for the rest of us. Why does this brain-dead fetuses life matter more than the thousands we killed in Hiroshima, who had families and lives? Why does this cluster of cells life matter more than the ants you stepped on? Why does this life matter more than the meat you ate for dinner last night?",Abortion is lawful,for,[2]
2657,1580744435-263,https://www.debate.org/opinions/do-women-have-the-right-to-abort-a-fetus,Its funny and pathetic that the same women who say we need gun control to save children from school shootings will defend till their dying day the right to kill babies via abortion. Men should sue the gynecologists for killing their children. Once a few abortion doctors lose millions suddenly their won’t be so many abortions.,Gun control to save children is a farce,against,[16]
1844,1582734972-2113,https://www.debate.org/opinions/should-abortion-be-illegal,"Patau Syndrome, or Trisomy 13 is a genetic disorder caused by nondisjunction in the 13th chromosome. It is incompatible with life, as it causes polydactyly, micropthalmia, microcephaly, and numerous other conditions. Do you really believe that these children should suffer being birthed so that they can die immediately while their mothers watch helplessly? Mothers deserve the option to terminate pregnancies that will end in untimely death and suffering.",Ever Heard of Patau Syndrome?,for,[7]
2153,1582735052-2421,https://www.debate.org/opinions/is-abortion-wrong,"If we were to take a person, let's call him a, and we take another person, b, and we switch their brains with their body, then a is still a, but lives with the physical boundaries or b's body.   We are who we are because of our brains and not our body, and without a brain, we are a sack of meat. At eight weeks, a fetus has the ability to think, feel, react and realize its   own existence, before this the fetus is a shell, filled by the mind. Before this, there is no neural activity and after the specimen can think for itself and has the capability to survive on its own and before the eight-week mark, even being exposed to the outside world would most likely result in the failed development of the specimen","We are defined by our brains, not by our body",for,[3]
