docs,topic,viewpoint,words,perspective,sum_topic
"The vast majority of abortions are done before the 13 week mark, a staggering 91.9%. Of that majority 71.7% are done before the 8 week mark. Also an interesting point, 17.7% of all abortions in 2010 are medical abortions, meaning there was a real and present risk to the mother.

Interestingly enough, the more prevalent sex education and abortions become, we've seen a decline in the number of abortions per year. A 3% decline from 2009, and a 5% decline the year following.

Aside from the facts. There is a poor understanding of when something becomes human. Science cannot give a clear answer, and religion is scattered across the board on the opinion. 

Is it on conception? That doesn't seem to make sense, as millions of sperm and eggs are wasted by bodily functions, or during sex that doesn't lead to pregnancy, either by contraception or simple odds.

Is it when the heart beats? That isn't quite accurate either. We have what we call ""beating heart cadavers"" that aren't considered living.

Brain activity? That's a possibility.

Surviving outside the womb, or independent of the ""life support"" of the mother? Another answer that's possible.

The concept of bodily integrity is an important factor coming into play. Did you know that a deceased person cannot have their organs harvested unless they previously gave permission? With this mindset being so vital, the concept of medical abortions are the same. One cannot be expected to choose another's life over the right to personal autonomy, unless they explicitly agree otherwise. 

Is abortion murdering a child? Only if the abortion is done against all the regulations and legislation put forth to make sure things like that don't happen.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
Yes. It must stay legal. Women can not have bodily autonomy without the option of abortion. Fetuses are not formed enough to know that they are people or that they exist. They are a collection of cells who have not yet formed consciousness. You can't tell someone what they have to do with their organs to save a life. The uterus is no exception. It is simply wrong to force a woman to carry something inside of her that she doesn't want inside of her.,0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Why should anyone care about what happens to a fetus?

Seriously, why should I care even if it is the murder of a person when you abort a fetus? Like I said, no one has to worry about becoming a fetus unlike the possibility of having to give birth against your own will, paying for the child's well being, getting thrown off of buildings anyway, or tortured anyways. 

And also, no amount of autistic screeching about how it is so emotional to remove a child in a connotative, bad way (e.G. ""REEEEEEE You don't care about ripping out a child? REEEEEE"", etc.) is going to add to the debate (Lol, I am diagnosed autistic, and I think I have seen some really autistic shit!).",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"Abortion is not murder. See, the thing is, a heartbeat does not mean you are alive. Life is determined by electroencephalogram (EEG). If you have lost EEG, this means you are 'brain dead', which is the legal and scientific definition of death. Therefore, by legal definition, a fetus CANNOT be murdered, due to the lack of EEG, it can only be removed. Sorry pro-fetus people, but this is all scientifically accurate.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"A fetus isn't living, and what would be considered a child to me is starting from when the mother goes into labor. There are many reasons why a female would want an abortion, many of you know some of the reasons. My view is that in order to get an abortion, you must have a justified reason. Maternal experts and a group/person of authority must give the woman permission to have the procedure. I disagree that it would be considered ""murder"" because the time that a legal-abortion would occur is at a time where the fetus is being formed, which I would still consider a physical part of the female. If it was in later in the pregnancy, it would be different, but it should be the mothers call. It's her body, and to say ""you can't decide what happens to you"" I find very restricting on the woman. I would classify it as murder if the female was being careless and refuses to face the consequences. Like I said before, it must be justified. If unjustified, then it would be murder.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"Between preventing a baby from being created and removing it right after it was created. The result is the same: There's no baby. It never had a consciousness, it never felt any pain, it's just gone as if it never existed in the first place. So why is abortion so much worse than birth control?",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"For people who say abortion is ""Inhumane"", I'm here to let you know that you are killing a fetus, which is not human. And for those who say that ""You are killing a living cell"" You do that too, when men masturbate, when women menstruate, they apparently ""murder"" according to you. There is a way we can stop that though! Go to nice mommy nature and ask her why she is killing so many things! If you are something that lives, then GUESS WHAT! You eat! OMG did you know that eating kills cells!!!!!!!!!!!!!!!!!!!!! Cewl!!!!!!!!!!!!!! Let's end the human race for an unborn fetus which will ruin a woman's life! Great Idea!",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"So you're against abortion? Well if you eat eggs. You eat abortions. 
Saying that abortion is bad is very bold to say. I mean, would you consider yourself to be an abortion? Well of course not, you're alive aren't you? The abortion isn't really alive. Not to be cold, but honestly, if it were out in the real world, and breathing air, out freely, and then you stabbed it in the throat? Yes I think that's called murder.

That's all folks.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Dear MinnesotaWildChild,

My argument is mainly aimed at you as I am absolutely horrified by your statement, not to mention your reference to a 2 year old child being the same as a foetus. A foetus and a 2 year old have completely different abilities and a completely different brain capacity(being that a foetus has none). Can a foetus hold your hand? Can a foetus say I love you? NO. Therefore the fact that you even attempted to compare the two is ridiculous. Now, I am completely aware that there is a point whilst a foetus is developing that they transition from a foetus to a baby, however providing the abortion is before this time there is no reason to suggest the foetus to be considered a baby. 

""That baby was human at the time of birth, which means that it must have been human 5 minutes before the birth. So if the baby is a human before birth, then that means that it is a human while it is a fetus."" < this is a quote from you appalling statement and I think it might have been this part that shocked me the most. Granted a baby is a human 5 minutes before birth, however what about 7 months before this birth was it still a human then? When it did not even have fingers or toes? The answer is NO, it was not , it was just a bunch of cells, no thoughts, no feelings, just cells. A 2 year old on the other hand is a life. It has emotions, a heart, a pulse, a brain, it feels things that a foetus under the age of LEGAL abortion could never feel. Want to know why? BECAUSE IT IS WITHOUT A BRAIN AT THIS STAGE! 

And by the way you snuck in a snide comment about adoption always being another option, but I would like for you to imagine you carrying something for 9 month. You going through all the ups and downs a pregnancy can have, then after going through God knows how many hours of excruciating labour, you holding this tiny, defenceless, innocent baby in your arms and starring into its youthful eyes and feeling that bond and connection that you pray will never be broken. But wait there's an interruption at the door, oh that's right it's the parents you signed your baby off to 7 months ago when it was a still a foetus! What a shame!

I really hope that I have made my point extremely clear and just in case you still don't get it - FOETUS IS DIFFERENT TO BABY, BABY IS DIFFERENT TO 2 YEAR OLD AND FETUS IS DIFFERENT TO 2 YEAR OLD!",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"It isn't a live human. If it was a person why doesn't it show up in the polls. A list of some of the characteristics of being a person
1. A developed capacity for reasoning.
2. Self awareness
3.Consciousness and ability to feel pain
4. Self motivated activity
5. Capacity to communicate messages of an indefinite variety of types.
The fetus does not fit any of these categories so it is not a person. I don't know why everyone is against it since we kill animals everyday without much protest yet killing a fetus which, isn't even a human, is considered murder?",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Many make the claim that abortion is murder because it's killing living cells. If that's the case, then men commit genocide every time they masturbate, as they're killing several thousands of living sperm cells; women are committing murder every time they have their periods, as they're flushing a living egg. People commit murder when they exfoliate their face as they're killing millions of living skin cells. If you're going to make the argument that it's murder because you're killing living cells, then you're a murder by your own right.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"AN ABORTION IS THE DECISION OF THE MOTHER NOT THE GOVERNMENT!   People who get abortions are not killers. You simply cant not ""kill"" someone that is not alive to begin with. Most women get and abortion BEFORE the fetus even develops lungs to breathe or a heart beat and the last time I checked both are needed to be considered alive.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"Even though it should be avoided where possible, it cannot always be considered wrong. For those that argue that life begins at conception, what about IVF? In IVF many eggs are fertilised but only a few are ever given a chance at life. The rest are either used for research, stored or maybe discarded. Surely we are also destroying life here, but we are also creating life. Sometimes someone is having a baby not out of choice, e.G. They may have been raped. In this case abortion can be justified, especially if the individual is young. Also remember the unborn child, does not have the ability to think or hold emotions. Yes we are denying it the chance of life, but we also deny many other things a life. Nevertheless if the abortion is merely the result of a stupid mistake, selfishness or occurs later on in the pregnancy, it is wrong.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
A baby does not have a soul until it takes its first breath therefore we are not killing anything but a shell of a body. It has no personality it isn't even a fully developed human yet. So we wouldn't really be killing anything just a shell. NO need to even worry or feel sad about killing a shell huh?,1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"A fetus is not a living thing until the 23 week mark. It cannot survive without tubes, machines, etc. Prior to that point, machines and tubes would not sustain the fetus. If a fetus in born prior to the 23 weeks, hospitals will not attempt to keep the fetus alive. Some consider the fetus to be human at the very moment of conception because it contains ""human DNA"". In that case, shouldn't the sperm and egg be humans, too? They contain human DNA, even if it is only half the chromosomes. However, if left to survive on its own, sperm or an egg could not survive and should not be considered human.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"There is only a certain time frame when you can abort a baby, and it is not even able to think at that point. No thought = no consciousness = not a human being. Killing babies is wrong, and so is harming a pregnant woman, but at the abortion the baby is as alive as a bacterium, and you kill thousands of them without a second thought.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"If you get an abortion, you can only get in when the egg is not yet grown into an organism.
So, by that logic, it's not really alive. You cannot get an abortion once the baby has grown into an organism. So, yes, abortion should be allowed, but I don't think you should be having intercourse unless you are trying for a baby.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"Scientists have that the heart is not beating, instead, the egg is replicating fast like a tumor. It's not until the second week of pregnancy that blood flow starts in the new organism and that's when its called a new organism because to that point it has been a pile of replicating tissue. That means, until the 2nd week, abortion is not wrong.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"You will debate legalizing the removal of a creature that hasn't even been born yet,   but don't go saving those people that try to kill themselves. Either way it's your body, so why do you care more about someone that isn't even born yet more than someone that's been living?",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"Suppose you had a tree seed in your garden, but did not have enough room for the tree, if you uprooted the sapling and threw it away you would be killing something living, but not conscious. The same can be said about a fetus. The moment sperm makes contact with the egg, the organism created is technically alive, but not conscious. Removing this organism from one’s body would be considered murder if killing any plant or tree was also considered murder. While the organism being killed has the potential for consciousness, it is not considered conscious until the third trimester. So, in closing, abortion should be legal as what is being removed is neither wanted nor alive in the sense that it can think.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"The valuation of personal life is in its ability to bring happiness to those around yourself.  The human life does not begin until one is born.  



The value of general life is the ability to suffer.  Abortion occurs in a way in which one does not suffer, and in many ways limits suffering.  That does mean that in some circumstances it is wrong, such as forcing abortions onto others, but the act is in itself not immoral.  Of course, many don't value life in and of itself, so even valuing the foetus is questionable.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"It's no different to removing any other sort of unwanted cellular growth. 
Obviously the ethical considerations intensify the older the foetus is, So realistic parameters should be legislatively applied. Most women are aware of their pregnancy shortly after conception, So a 10 to 12 week limit would seem appropriate, Relative to foetal development. 
The pro-life camp is rife with hypocrisy and double standards and self righteousness never usually stands up to real scrutiny. I haven't debated a pro-lifer yet who isn't highly selective regarding which life they deem to be worthy of their moral consideration.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"I am left with a uneasy feeling when I think about the topic of abortion.   It is a procedure ending some life, whatever the nature of it is.   That being said, this subject is not one which I believe has a categorical answer.   Drawing no distinctions between lives leads us to a dichotomy where all life is valuable, which would make us killing microorganisms immoral, or no life is, which justifies murder.   This line is contentious, with moral quandaries on both sides, and I am unwilling to subject a person to childbirth on grounds no one has yet come to a consensus on.   Add in thought experiments such as the Violinist, which make this circumstance distinct from murder, as well as auxiliary arguments discussing how this could help overpopulation by not forcing women to give birth, and it leads me to the conclusion that abortion should not be illegal.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"A fetus is a parasite that takes hold of its host and saps it of resources. It is a parasitic relationship, That should only be allowed to continue if the mother is willing to sacrifice her well being for it. A fetus is not entitled to using a woman's body for nutrition while living inside of it. It is up to the mother to decide, For the same reason that a home owner can decide if someone can break into their house and eat their food.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Before a certain period it is not at all. What makes a person inherently precious, I think, is (dormant or active) consciousness: thoughts, feelings, memories, hopes, and awareness. Since consciousness depends on the development of the nervous system, and since it takes many months for the nervous system to mature, we can conclude that consciousness emerges gradually. Consequently, the inherent preciousness emerges gradually too. For a fertilized egg, there is no consciousness and also no history of consciousness (unless you believe in reincarnation). Even though all the DNA is there, the fact that there's no higher brain activity strongly suggests that there's no consciousness.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
Up to a certain point all a fetus is is a clump of cells. So logically speaking if we were to stop abortion we should stop treating cancer because those are clumps of human cells. Or we should stop cutting our hair so that we can conserve our precious human cells.,5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"1. The growth of an embryo is rapid and constant during its time in the womb.
2. By standard, pregnancy is 40 weeks (with general variation)
3. 95% of abortions occur during the eighth week
4. A newborn is universally considered human, and is our closest reference point in relation to an embryo
5. Therefore after the typical 40 week pregnancy the﻿ embryo is 100% human
6. Since abortion typically occurs at the 8th week, the embryo in question would subsequently only be 20% human.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"The core of the disagreements between parts is considering if a fetus is a human being or not. Scientifically I think we can agree, that who we are, our awareness and in general, what makes us human is the brain. Killing a plant isn't considered murder as it doesn't have awareness and killing animals is increasingly bad in a direct proportion to the apparent awareness of the animal(and similarities with us).
So considering that the brain starts developing at around week 5 and its completed at around week 30; and the fact that most abortions are done in the first 6 weeks, would say aborting is not comparable to killing a fully functional human being. Although I would definitely agree that a 7 month abortion is bad morally.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"It should NOt be illegal. Fetus in the first trimester can not feel anything. The woman can. Its their body, their choice. The fetus body doesnt matter in this case, being that it is not a human and it can not feel. People who care more about the fetus than the human that has to go threw everything because of it, are ignorant and selfish. You could argue that the woman is selfish, but is she really? Just because she does not want to go threw emotional damage, physical pain, and mental trauma does NOT mean she is selfish. Think about the woman who is already ALIVE. Not the fetus who is NOT.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"It just feels like all anti-choice folks are stepping on our toes by telling us we can't have an abortion.  They can have their sissy little opinion, but if they try to tell us we don't have any choice over our bodies, we're gonna riot for our freedom to choose.  I've never been pregnant, but if a man ever slips one past the goalie, there's no way I'm keeping it.  I'm not ruining my (already on the chubby side) body for a baby I don't want and can't support.  Snuffing out a fetus and murdering a conscious little baby is very different.  The fetus has no idea it's being killed; it feels the same way you, the reader, did in the year 1800 and will in 2350; absolutely nothing, because you weren't born in 1800, and will be long dead by 2350.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"The people on the no side refuse to realize that personhood, which grants rights, only happens when the fetus is viable. Besides this, the fetus is unconscious throughout the entire pregnancy, if you're not pronounced dead until you are also brain dead then why be pronounced alive if you're brain dead, the heart beating has nothing to do with this as science has created machines that could keep your heart beating forever. Many pro lifers also bring up religion, but religion has no place in politics.   Besides all this, if you bring up adoption in an attempt to challenge me, you fail to realize that if every pro lifer adopted, there would be no more children in the system.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"Women can choose whatever they want to do with their own bodies Who's to say where life begins and ends? Why is the beginning of life when the sperm and egg come together? The sperm cell and the egg cell are two individual living cells, if we use the conservative logic for this, we find that it's murder not only to have an abortion, but to not reproduce. If you fail to reproduce as often as possible, you are committing murder because you are allowing your 250,000,000 sperm per day and one egg per month go to waste. Isn't that the same thing that's happening with an abortion, except a little bit later in the process? Why does the point in the process matter, if the human is not self-aware yet?",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"People shouldn’t be allowed to interfere with other people’s choices. A fetus is not a baby, A fetus cannot feel pain until the third trimester feeds off of the mother’s body. If aborting was wrong. Then Killing animals is worse because they actually feel pain. And I don’t see anyone willing to pay up for these fetuses to become functioning members of our society.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"What is it about a human life that makes it inherently valuable? A very common answer is a person's high sentience, or the ability to perceive. The inherent morality of aborting a fetus or embryo therefore comes from it's ability to perceive. This trait is extremely likely to come from the brain, as it is a human's vessel of thought. In early stages of development (before the brain has developed), abortion is not really murder, as there is likely no sentient person on the receiving end of the action.

An argument cannot be made to compromise a woman's freedom for something that isn't even able to think, even if it is technically a human. It is morally worse to kill an animal for meat than to abort an embryo in its early stages, as it probably perceives more than the embryo.

Overall, as long as it happens relatively early in the life of an embryo, there is usually nothing wrong (morally) with abortion.
(Late term abortion I consider morally wrong, but I don't know enough to make a confident decision on that issue.)",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"Abortion is not wrong. It's very simple, really. Fetuses aren't conscious, and they don't feel any pain. Morality should based on suffering, not some religion that has no evidence to support its truth. Yes, a fetus is technically ""alive"". But so are tumors and bacteria. A fetus isn't a person. Get over it.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"If a women gets raped and gets pregnant from a rapist, she should most definitely not be forced to have that child.   A baby that is in   the 1st trimester could not even be considered alive let alone have rights.   A women should not have to go through birth if she does not want to have a child that is her choice not the governments.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
A fetus is not a baby. If someone were to have a baby and then murder it yes that would be wrong. The foetus isn't even a baby yet so how is it murder? There are many circumstances in which a woman   could not be a parent. Abortion should be an option.,4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"Morality or not. They have no conscious, that's it. They don't know their alive. Babies wont be fully conscious even AFTER birth. If a 13 year old is raped, why does she HAVE to have the baby? That'd be wrong to make her, especially if she did not want to have it. Yes, there should be limits, but it should be allowed for those cases that it's obviously exceptional.",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
"Life as we conceive it is merely stimuli we receive from the world with our senses. The fetus does not have any senses upon conception, I don’t know when it does develop these senses, but to say it is murder as soon as it conceived is ridiculous.

Is it has never experienced a thought or received stimuli so it is for all intents and purposes nothing but a blob of stem cells.

Even after a few months lets say, and the fetus has developed some basic senses, it has no higher order thinking or coordination, how is it any different from an animal, we kill lots of animals without care, why not this human that has no more abilities than an animal",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
"There is a difference between a fetus and a baby.
A fetus does not breath or eat and is within the mother and dependent upon her for oxygen and nourishment. It does not feel pain until the 24th week of pregnancy   (5 months). The brain does not become active until the 28th week of pregnancy.   This means it can't even think. It is not a person.
A baby is a birthed living creature which has been born into the environment and detached from the support systems of the mother. It must breath on it's own for oxygen, and consume foods to digest them for independent nourishment. It can feel pain, happiness, sadness,   frustration,   etc. It is a human life.",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"Abortion is in no terms wrong. Naturally, it is a difficult decision and can be very emotionally difficult for the mother. However, in circumstances, bringing a child into the world can be a worse decision; some people are not fit to be parents. Abortion is not murder. One is not killing an innocent child through the act of abortion. Instead, the foetus is being disposed of before it has the capability to feel through the development of the central nervous system. The deadline for legalised abortion is still before this development, so at no point is one harming the baby. Yes, the child could grow up to cure cancer. Or, the child could grow up to be a mass murderer. Human intelligence does not suffice for us to try and comprehend and predict future events. But on any account, abortion is not murder.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"Because duh i mean c'mon seriously tho fetuses can't feel or think of breathe or anything but the woman who is pregnant can and if she decides to get an abortion then she probably will, legal or not. Making abortions legal tho makes it safer for the woman and her life is more important than an unborn child's",5,1,"['method', 'creature', 'member', 'condition', 'humanity', 'love', 'new', 'great', 'organ', 'good']",[3],6
"The question to ask is, when does life develop into a human person? My belief is that this at least requires a functioning nervous system.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"There are creatures with in built abortion systems so why should we not take advantage of it? This can go with every religion and is indisputable so for you religious people, why would God give animals abortion and not us. And any atheist who's against abortion, what possible reason do you have, humanity and you don't lose anything.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"Abortion, by our current legal and medical understandings, isn't wrong, and there's a lot of ignorance floating around on the subject, and a lot of intentional misinformation too. (like this wonderfully biased picture in the opinion head)

Neither science nor religion can come to a consensus on when a fetus becomes a human, but science makes a very good argument that viability, at it's earliest, is 24 weeks. 

To suggest that it's still part of the mothers body until 24 weeks but than refuse her right for bodily autonomy is to grant more rights to corpses than we do to women. 

I don't want to live in a society that places more rights on my dead body than it would on a healthy breathing woman, and I hope you don't either. 

Unless there's compelling evidence to suggest a fetus becomes viable before that timetable, this is my reasoning.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"Many make the claim that abortion is murder because it's killing living cells. If that's the case, then men commit genocide every time they masturbate, as they're killing several thousands of living sperm cells; women are committing murder every time they have their periods, as they're flushing a living egg. People commit murder when they exfoliate their face as they're killing millions of living skin cells. If you're going to make the argument that it's murder because you're killing living cells, then you're a murder by your own right.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"I'm sure you all have heard this argument before, but if you had a fetus in a petri dish in one hand, and a baby or a young child in another hand, and you had to drop one, which would it be? Exactly. A fetus is not equivalent to a life that has already been born. Abortions can save mothers, especially ones that are the victims of rape, from dealing with a ton of hardship.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"The law against abortions after the third trimester is justified, at that point the baby is more human then not. However, abortion in the first six months is fine. A fetus is not a person, nor is it a human, it is an organism and an undeveloped entity that is not capable of voicing it's opinion on it's own death. All those ""let the babies choose"" adds are hogwash, they are stating that even single-celled organisms are people, and that is just nonsensical poppycock. It is not a punishment to the fetus to terminate a pregnancy, nor is it wrong, it is the parent's decision whether they want to have a child yet. If abortion were to be banned, what about all the rape victims or teenagers who get pregnant by accident, and then have to make their way through high school with a child in their arms? Criminalizing abortion should never be an option on the table, it is a perfectly justifiable medical procedure that some fictional man sitting in the clouds says is wrong.",1,1,"['pay', 'stomach', 'pleasure', 'commit', 'foetus', 'good', 'foster', 'deserve', 'love', 'truly']",[3],2
"What's so bad about abortion? So what if it ends a life? I see people say:

''life is precious''
''human life is valuable''
says who? Humans? Well isn't that just convenient, every single animal on earth would say that, a fly would say his life is precious and has value, unless a non human said human life is precious/valuable that argument doesn't hold up.

Also would you people stop with the ''murder'' bollocks? If abortion is   legal then by definition it is NOT murder.

The born comes before the unborn, all a fetus is is a lump of dna, it in no way should be regarded as more important then the life already here.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"I’m holding a baby in one hand and a petridish holding an embryo in the other.
I’m going to drop one. You chose which.
If you really truly believe an embryo is the same thing as a baby, it should be impossible for you to decide. You should have to flip a coin, that’s how impossible the decision should be.
Shot in the dark, you saved the baby.
Because you’re aware there’s a difference.
Now admit it",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"1. Sorry for any grammar or spelling mistakes 
2. Implying that it isn't just a woman's body is true however that fetus (up until 8 weeks so i will call it that) is not independent meaning it still depends on another body. So yes she has the right to abort it. Even dead people have the right to decide what is done with their body after they die. But a woman can't decide what they do with theirs. She has full control over what she does with that baby up until it is independent.",3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"No i don't think abortion is wrong sense, sense there not even alive or thinking at that point. There not considered babies. A egg may be fertilized but it's not murder in my personal opinion abortion is not wrong. There's many good reason's why abortion is not wrong as people say it is. And many people are relying on emotion similar vegans protecting animals of being eaten as something like that.",4,0,"['rapist', 'infant', 'clump', 'hell', 'step', 'gotten', 'fail', 'nervous', 'together', 'unnecessary']",[3],5
"People are missing the most important part of the debate...The victims perspective. Aka the ""baby"" ask yourselves what is life and why dont you want to loose it? Is it your goals and aspirations? The life you've built for yourself and the people around you? The simple pleasures of taste touch smell ext... Yes I know life by definition is something carbon based and functioning but think harder! Life is valuable if its lived! Why is it ok to swat a fly but not to kill an adult? Because a fly does not think, set goals, plan or anything of that nature. It can however, feel pain and pleasure. A blob of cells cant even do that! The victim cant even be called a victim because it has no function but to grow and sustain similar to a plant at that point. But oh what about its tiny little heartbeat? What about the fly's heartbeat?! The value and very being of a fetus is less than that of an insect. It does not think, it does not feel, it does not experience, it does nothing. From a logical standpoint the potential of the ""person"" should mean nothing. Sperm and eggs die by the hundreds and thousands in each individual each day. Some with the potential to make this next Einstein were all waiting for. It is not responsible and harmful to make a baby if you are not ready. What about YOU? The life you've built for yourself, your dreams, your pleasure, your future? Kiss it all goodbye and embrace poverty and misery if you so choose but i gave it my best...",0,1,"['none', 'shut', 'chose', 'genocide', 'heard', 'love', 'mentally', 'second', 'understand', 'father']",[3],1
Everyone keeps saying abortion is murder. It is not murder. The fetus is a fetus that has yet to be born. It is made up of cells. How is that murder when it doesnt even have any rights yet? Its not even born to be given/have rights. The only argument for pro life is always saying its murder but its not. Smh.,3,1,"['experience', 'machine', 'happiness', 'ok', 'compromise', 'remember', 'okay', 'able', 'support', 'individual']",[3],4
"We've heard it all before. 'Abortion is murder!' 'Life starts at conception."" No. Cellular life may start at conception, obviously, but this is totally beside the point. Human life, consciousness and self-awareness, are all based entirely in the brain. The lower brain, the part necessary for basic bodily functions, doesn't even finish developing until the 8 weeks after conception mark. This is not enough to qualify as 'human life', as individuals with only lower brain functioning are legally considered to be brain dead, and therefore actually dead for all intents and purposes besides organ donation. The higher brain, the seat of your actual consciousness, doesn't develop until the 26 week mark, and it is only at this point that the fetus growing inside the pregnant woman can accurately be referred to as a 'person'. The only reason abortion could possibly be considered wrong is if doing so would kill a person. Being that the fetus couldn't possibly qualify as a person before 26 weeks, arguing that aborting it before this point is wrong is beyond ridiculous.",2,0,"['environment', 'look', 'hand', 'change', 'mature', 'whatever', 'sexually', 'hard', 'dangerous', 'unstable']",[3],3
