LDA1,LDA2,LDA3,LDA4,LDA5,LDA6,LDA7,LDA8,JST1,JST2,JST3,JST4,JST5,JST6,JST7,JST8,VODUM1,VODUM2,VODUM3,VODUM4,VODUM5,VODUM6,VODUM7,VODUM8,LAM1,LAM2,LAM3,LAM4,LAM5,LAM6,LAM7,LAM8,TFIDF1,TFIDF2,TFIDF3,TFIDF4,TFIDF5,TFIDF6,TFIDF7,TFIDF8,Q17_1,Q17_2,Q17_3,feedback,age,gender,stance,topic_knowledge,RecordedDate,TAM1,TAM2,TAM3,TAM4,TAM5,TAM6,TAM7,TAM8,model,honeypot_all,honeypot_one
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,,37,Female,Strongly agree,Somewhat agree,2020-05-11 08:20:18,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,,23,Female,Strongly agree,Strongly agree,2020-05-11 08:22:24,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,7 A baby should not come into the world unwanted.,4 Fetuses are incapable of feeling pain when most abortions are performed.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,56,Female,Somewhat agree,Neither agree nor disagree,2020-05-11 08:22:28,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,,26,Female,Strongly agree,Somewhat agree,2020-05-11 08:22:50,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,If this is used for good then this modal can be used to assist governments in making decisions based on a majority within the population. This could be good if used impartially.,25,Male,Somewhat agree,Strongly agree,2020-05-11 08:25:08,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,33,Female,Strongly agree,Somewhat agree,2020-05-11 08:26:05,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,I know one was definitely wrong but I couldn't work it out ,28,Female,Strongly agree,Somewhat agree,2020-05-11 08:26:35,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,,18,Female,Strongly disagree,Strongly agree,2020-05-11 08:27:16,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,22,Male,Neither agree nor disagree,Somewhat agree,2020-05-11 08:29:22,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,some double negatives were difficult to understand,58,Male,Strongly agree,Somewhat agree,2020-05-11 08:29:39,8 Abortion is justified as a means of population control.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.","11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,19,Male,Somewhat agree,Somewhat disagree,2020-05-11 08:31:55,8 Abortion is justified as a means of population control.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",14 Women should not be able to use abortion as a form of contraception.,7 A baby should not come into the world unwanted.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,2 Reproductive choice empowers women by giving them control over their own bodies.,TAM,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,"none, great survey:)",25,Male,Strongly agree,Somewhat agree,2020-05-11 08:32:09,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",4 Fetuses are incapable of feeling pain when most abortions are performed.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,,39,Male,Strongly agree,Strongly agree,2020-05-11 08:36:41,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,18,Female,Strongly disagree,Neither agree nor disagree,2020-05-11 08:36:51,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,,20,Female,Neither agree nor disagree,Somewhat agree,2020-05-11 08:41:32,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,29,Male,Somewhat disagree,Strongly agree,2020-05-11 08:42:25,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.","3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,9 Abortion is murder because unborn babies are human beings with a right to life.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,,26,Male,Strongly agree,Somewhat disagree,2020-05-11 08:43:14,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,7 A baby should not come into the world unwanted.,16 Abortion eliminates the potential societal contributions of a future human being.,"11 Abortion is the killing of a human being, which defies the word of God.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,59,Male,Strongly agree,Strongly agree,2020-05-11 08:43:44,8 Abortion is justified as a means of population control.,5 Women who receive abortions are less likely to suffer mental health problems than women denied abortions.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,12 Abortions reduce the number of adoptable babies.,"3 Personhood begins after a fetus becomes “viable” (able to survive outside the womb) or after birth, not at conception.",16 Abortion eliminates the potential societal contributions of a future human being.,2 Reproductive choice empowers women by giving them control over their own bodies.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Neither agree nor disagree,,59,Male,Somewhat agree,Neither agree nor disagree,2020-05-11 08:44:20,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,45,Female,Somewhat disagree,Neither agree nor disagree,2020-05-11 08:45:27,8 Abortion is justified as a means of population control.,2 Reproductive choice empowers women by giving them control over their own bodies.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,7 A baby should not come into the world unwanted.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",16 Abortion eliminates the potential societal contributions of a future human being.,14 Women should not be able to use abortion as a form of contraception.,TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Neither agree nor disagree,,63,Female,Somewhat agree,Somewhat agree,2020-05-11 08:46:46,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,9 Abortion is murder because unborn babies are human beings with a right to life.,10 Fetuses feel pain during the abortion procedure.,14 Women should not be able to use abortion as a form of contraception.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,TAM,False,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat disagree,Neither agree nor disagree,,27,Male,Somewhat agree,Somewhat agree,2020-05-11 08:48:18,8 Abortion is justified as a means of population control.,1 The US Supreme Court has declared abortion to be a fundamental right guaranteed by the US Constitution.,"11 Abortion is the killing of a human being, which defies the word of God.",9 Abortion is murder because unborn babies are human beings with a right to life.,7 A baby should not come into the world unwanted.,2 Reproductive choice empowers women by giving them control over their own bodies.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,60,Male,Somewhat disagree,Strongly agree,2020-05-11 08:48:42,8 Abortion is justified as a means of population control.,6 Abortion gives pregnant women the option to choose not to bring fetuses with profound abnormalities to full term.,"11 Abortion is the killing of a human being, which defies the word of God.",10 Fetuses feel pain during the abortion procedure.,7 A baby should not come into the world unwanted.,14 Women should not be able to use abortion as a form of contraception.,16 Abortion eliminates the potential societal contributions of a future human being.,"15 If women become pregnant, they should accept the responsibility that comes with producing a child.",TAM,True,True
