,Unnamed: 0,web-scraper-order,web-scraper-start-url,article,title,stance,perspective
11,11,1582733989-683,https://www.debate.org/opinions/should-abortion-be-legal,"I find abortion wrong and cruel. Some people told me, well what if the child hates their life? What if the child has to be put up for adoption and suffers of loneliness? Well this is what I think - the child may be sad or upset about something, but isn't living better than death? Even something so simple in life can make someone smile. Life is beautiful, so you should have a chance in it. Killing the child is just wrong. I know many get an abortion because of rape, or not being able to take care of it, but you still shouldn't kill your baby. Just remember that the baby could have had a chance to live and experience all the wonderful things in life. Don't take away their life.",Give them a chance at life,against,[16]
12,12,1582733989-747,https://www.debate.org/opinions/should-abortion-be-legal,"If abortion wasn't around wouldn't people act smarter.   It may actually help our society and make people think before they act, because they know there is no other option. At the moment   Abortion is ruining our society by encouraging people to think its okay to have sex because if they get pregnant they can just get an abortion. Our society no longer has standards abortion just encourages hot messes.",Abortion ruins our society.,against,[26]
13,13,1582733989-743,https://www.debate.org/opinions/should-abortion-be-legal,"I believe that if you made a dumb mistake of going to a party, getting drunk and impregnating a woman, you should pay for it and face the consequences face on, rather than forget about it and not face punishment,   because if there isn't any punishment, that everyone would go have sex and then abort. I believe if you were smart enough to impregnate someone due to stupidity, you should be smart enough to raise the kid. But if it is rape, then it should be legal because you had no way of preventing it or controlling it so that's the only time it should be legal.","It should not be legal, unless it was rape.",against,[24]
14,14,1582733989-532,https://www.debate.org/opinions/should-abortion-be-legal,"Abortion is a crime, the life of a human being Is being taken away. It is honestly the worst thing a woman can do against human dignity. It is not the fault of the little one that good decisions were not made. It should not cost his or her life. -Johnny Mendoza 
Dumas Tx.",Abortion is the worst thing a woman can do against human dignity.,against,[16]
15,15,1582733989-775,https://www.debate.org/opinions/should-abortion-be-legal,"God's law: Thou shalt not kill. 
Abortion is murder, and Doctors by doing this are ""Playing God"" (which is still in the oath today), not to mention that the baby feels pain after 20 weeks. 
The baby is a human being, regardless of it's size or age, and it should be natural for abortion to be illegal in a country which allows every human being to have rights. In fact, for abortion to be legal is ridiculous and hypocritical. If you really cared about human rights you would be pro-life.",Doctors break the Hippocratic Oath by performing abortion,against,"[18, 17]"
16,16,1582733989-625,https://www.debate.org/opinions/should-abortion-be-legal,"It should not be legal because in the sense of abortion your are murdering a child and a murder is a crime. So if a woman has an abortion she should go to jail. You can have a child and put them up for adoption , there is no reason to get rid of an innocent child , unborn .",Abortion is murder,against,[16]
17,17,1582733989-756,https://www.debate.org/opinions/should-abortion-be-legal,"Abortion is the death of a little baby, a human, its murder. Abortion is never the right choice. Abortion is homicide even if you dont believe me look it up use your brain if you saw a baby would you kill it, i dont think so but if its inside you and just decide ""since its mine and i got screwed up i dont want it"" that's not right. If you got screwed up in high school that's your fault not the babies not anybody its your fault so why do you have abortion when it wasn't that little babies fault",Abortion should be banned,against,[16]
18,18,1582733989-711,https://www.debate.org/opinions/should-abortion-be-legal,"No matter how far along a woman is in her pregnancy, it is still murder. Taking the life an innocent human being is wrong. If you can't take care of the baby, there are always couples who CAN'T have children and would love to adopt! Murder is murder, no matter what the situation.",Abortion is Murder!,against,[16]
19,19,1582733989-664,https://www.debate.org/opinions/should-abortion-be-legal,"Why kill an innocent soul , if you made the decision to have unprotected sex then you should pay for your consequence why punish an innocent child . If you can't support your child you have family members that would take care of it or give the baby up for adoption , but abortion is never the answer ,",Never take an innocent life,against,"[16, 24]"
20,20,1582733935-459,https://www.debate.org/opinions/should-i-get-an-abortion,All life has a beginning. Some countries count their age and add 9 months because of time in the stomach. People are pro abortion because it is someones choice but they don't allow the baby to have a choice? The baby is a small living thing with a beating heart and the newest creation. If you think of removing the baby because you don't have a good home for it then why kill it instead of giving it up for adoption? I recommend instead of just hearing a random guy text to go see why people are against abortion then just assuming it's ok. Have a great day :),Life begins at the beginning,against,[16]
21,21,1582733989-645,https://www.debate.org/opinions/should-abortion-be-legal,"“The fact that fetuses can feel pain is really quite obvious. Since newborn babies can feel pain, fetuses can feel pain. There is no pain switch which suddenly switches to ""on"" during the journey through the birth canal. The only question is when do fetuses feel pain? The Unborn Child Pain Awareness Act places a fetus' ability to feel pain at 20 weeks from fertilization, about half way through pregnancy. Twenty weeks is a conservative enough estimate that even some prominent abortion supporters have conceded it's reliability. “

“Allowing abortion conflicts with the unalienable right to life recognized by the Founding Fathers of the United States. The Declaration of Independence states that all men are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness.""Abortion takes away from the unborn the unalienable right to life that the Founding Fathers intended for all human beings.”","Babies are equally human and have rights, abortion is MURDER",against,"[17, 27]"
22,22,1582733989-662,https://www.debate.org/opinions/should-abortion-be-legal,"A human being's life begins at fertilization.   Zygote, embryo, fetus, newborn, toddler, child, teenager, adult, elderly - these are all stages in the life-cycle of a human being. Location of the human being shouldn't matter - all innocent human beings should have a basic right to life. No one should be killed simply because they are unwanted or inconvenient.",Abortion kills a human being. Human beings have a fundamental RIGHT TO LIFE.,against,[16]
23,23,1582733989-749,https://www.debate.org/opinions/should-abortion-be-legal,"Its a 2 letter difference.   ( i saw a road sign that said this and i thought it was relevant to this conversation).   Even if you are a teenager who got pregnant by ""accident""     (if you dont want to get pregnant dont have sex)   adoption is still a better option than abortion",Abortion vs. Adoption,against,[24]
24,24,1582733957-496,https://www.debate.org/opinions/is-abortion-a-womans-right,"Honestly the people who actually support abortion need to get some sensitivity training. No one has the right to unjustly take another life of a human being. Yes, It's her body that is carrying the fetus to term but it is the baby's (or fetus or embryo, Whatever you want to call it) life that you are ending. This entire ""my body my choice"" argument is predicated on the notion the mother can choose whether to care for the child. But let me ask you this: who's body is affected more? The woman or the baby?",It's not her choice to murder,against,[16]
25,25,1582733989-506,https://www.debate.org/opinions/should-abortion-be-legal,"Abortion should be legal if the babies are not persons.   What is the difference between a baby in the womb and a 2 year old? There are 4 basic differences, they are the size, level of development, environment, and degree of dependency.   
     Is a fetus a nonperson due to its size? Is a 4 foot person any less a person than a 6 foot one? No, so the size no matter what of the fetus should make the fetus or any human a nonperson.
     The second thing is level of development.   Is a 17 year old more developed physically and mentally than a 2 year old? Yes. But is that 2 year old any less human? No.   Level of development had nothing to due with the nature of personhood.
     Thirdly is the environment.   How does a change of location classify a human as a nonperson? Does moving to a new state make you not a person? So how does living in a womb make a baby not a person, and quite simply it doesn't.
   And finally is the degree of dependency.   Are diabetics living on insulin or a man living on life support make them nonpersons? Would it be right to kill them based on their condition? No, so why would it be right to murder a baby in the womb. 
     The abortion issue isn't about the rights of the mother. It's about the rights of the baby. Murdering a human being is never okay. And. Based on the evidence above I have concluded that fetuses are persons and shod therefore have their own undeniable rights.

-Hobbes",Personhood and Babies,against,[16]
26,26,1582733989-776,https://www.debate.org/opinions/should-abortion-be-legal,"God's Law commands, ""Do not kill"". But for those who reject God, I will also state that doctors break the oath that they've taken to never kill or harm another human being and by ""Playing at God"" (which is still included in the oath today). The baby can definitely feel pain after 20 weeks gestation, and life does not begin at birth, it begins at conception. What is the difference in killing the baby 30 seconds after birth, or 30 second before? There is no difference. Abortion is ending the life of a precious human being. It is discrimination.","Doctors contradict the Hippocratic Oath by ""Playing God"" and ending the life of a human being.",against,"[16, 18, 25]"
27,27,1582733989-653,https://www.debate.org/opinions/should-abortion-be-legal,"Their is a baby waiting to be born to live a healthy and full life. Another life shouldn't be killed because one did not use protection, its your own fault. In cases of rape, THEIR IS SUCH THING AS GIVING BIRTH AND PUTTING IT UP FOR ADOPTION. YOU ALL ARE MURDERERS IF YOU DO ABORTIONS",Abortion is murder.,against,[16]
28,28,1582733989-731,https://www.debate.org/opinions/should-abortion-be-legal,Abortion is bad and is killing would you want to be killed? Miss d says that abortion is bad because there are going to be less babies to adopt :(   abortion is not a contraception it is a life and a human and they have spirit and soul say no to abortion/murder,No to abortion!,against,"[16, 21, 23]"
29,29,1582733989-741,https://www.debate.org/opinions/should-abortion-be-legal,"I believe that in cases of rape, incest, or if the mother's life is in danger, abortions should be allowed. However, if it isn't one of these three cases, then the child should be allowed to live its life. The ""my body my choice"" argument doesn't make much sense to me. It isn't your life, it is your child's life.","No, in most circumstances.",against,[16]
30,30,1582733923-434,https://www.debate.org/opinions/do-you-support-abortion-being-legal-in-the-first-trimester,"It is dishonest to say your are against abortion after the first trimester because you consider it taking a human life, then turn around and say you support it in the first trimester as the younger unborn is not human life.   Society has truly decayed and sunken to some very low levels, where people advocate for all sort of inhumanity and against decency.   See the opposition to follow as an example.",I do not.,against,[16]
31,31,1582733989-618,https://www.debate.org/opinions/should-abortion-be-legal,It is going against our unalienable rights. Science is on the side of not legalizing it because the babies brain has already started to develop. The baby is now an individual. I believe it is murder. The baby that was just killed could have grown up to make a difference in the world. Maybe he would have been a murderer but at least give them a chance to live.,"Life, Liberty and the Pursuit of Happiness",against,"[16, 27]"
32,32,1582733989-572,https://www.debate.org/opinions/should-abortion-be-legal,"Other people will adopt your kid if you don't want it. There is no use for killing a child. Children are fun to play with and not to kill. Abortion should not be legal. You will enjoy being there parents. Already in 2012 there was 699, 202 abortions. Don't do ABORTION!","NO, No, No abortion",against,[16]
33,33,1582733989-513,https://www.debate.org/opinions/should-abortion-be-legal,I don't even understand how this is a debate. Abortion is never the best choice. It is murder whether people want to admit this or not. Life begins at conception as the fetus starts to develop immediately and its cells contain HUMAN DNA different from their mothers immediately after conception. Homicide is forcefully ending a life of another human being. A fetus is a human being. Therefore abortion is homicide.,"No, no, no!",against,[16]
34,34,1582733992-789,https://www.debate.org/opinions/pro-choice-or-not,"By saying abortion is okay is saying that it is okay to kill an unborn child with unknown potential . Life starts at conception, therefore as soon as that baby is conceived it is living, and has the right to life. If you don't want to take care of the child or can't take care of the child, ADOPTION IS AN OPTION.",It is not their life,against,[16]
35,35,1582733927-442,https://www.debate.org/opinions/are-you-with-or-against-abortion,"I do not say this to be mean, but abortion is wrong. Period. It is killing an unborn child without their permission. Everyone always says that a woman has the right to decide what happens with her own body. Well the thing is it is NOT their body. It is not THEIR body that is being terminate. It is their unborn child's body that is being terminated. Life begins at conception and that embryo is 100% human- just in its early stages. It has its own unique genetic code and soon a mind of its own. It might not be independent of the mother just yet but once it comes into the world. They no longer need the mother to provide blood for them. 
But just because I am anti-abortion does not mean that I don't believe abortion is acceptable in some cases: that would be if the pregnancy threatens the life of the mother such as an ectopic pregnancy. I'm not really sure about incest but with rape, I know I'm gonna sound mean here rape doesn't cut it either. This is because the child is still innocent and does not deserve to die. IF the woman does not want the child, she should have the option to give it up for adoption.
I sympathize with those who are thinking of having an abortion or who have already have one. I do not mean to be bitter or judgemental because according to the Bible, were are not to judge others as we are just as sinful as they are. I do not judge those who have abortions. I just feel that they might have made the wrong decision. Those who have had an abortion or who are thinking of having one should not be scoffed at, looked down upon or ridiculed. They need love, compassion and kindness. This is what a lot of pro-lifers fail to realise.",I am against abortion.,against,[16]
36,36,1582733989-750,https://www.debate.org/opinions/should-abortion-be-legal,"It wouldn't be fair for the baby to be aborted when it doesn't even have a say in whether or not it's fair for it to not get a chance at life and to have a childhood and grow up without being killed before even being born. It's unethical to think that you being born is okay but for some reason that child can't be allowed to live. If you don't want the baby or just can't afford it, at least give it up for adoption. Anything is better than taking away its only chance at life. If you were to literally put yourself in the same position as the baby, you'd understand how unfair it would be for you if you were never loved and aborted by your own mother who never wanted you.",Everyone who supports abortion is already born.,against,[16]
37,37,1582733932-450,https://www.debate.org/opinions/is-abortion-right,"There's no way to sugar-code the murdering of   an innocent child. You are killing living thing that is a baby.   No one in their right mind should think that murdering a fetus that still feels a lot of pain while the process is being done.   So the mother needs to choose, right? She also had to choose whether to do stuff with the other guy. She was responsible for getting pregnant, and then she would be responsible for killing a baby because she decided she did not want it.   Absolutely ridiculous.","Sorry, but I don't agree with the murdering of an innocent being.",against,[16]
38,38,1582733989-508,https://www.debate.org/opinions/should-abortion-be-legal,"There is a tremendous consensus in the scientific community about when life begins.   This is hardly controversial.   If the claim were made that life was discovered on another planet, for example, there are well-defined criteria to which we could refer to conclusively determine whether the claim was accurate.   How do scientists distinguish between life and non-life?

 LIFE cover photo A scientific textbook called ""Basics of Biology"" gives five characteristics of living things; these five criteria are found in all modern elementary scientific textbooks:

1. Living things are highly organized.

2. All living things have an ability to acquire materials and energy.

3. All living things have an ability to respond to their environment.

4. All living things have an ability to reproduce.

5. All living things have an ability to adapt.

According to this elementary definition of life, life begins at fertilization, when a sperm unites with an oocyte.   From this moment, the being is highly organized, has the ability to acquire materials and energy, has the ability to respond to his or her environment, has the ability to adapt, and has the ability to reproduce (the cells divide, then divide again, etc., and barring pathology and pending reproductive maturity has the potential to reproduce other members of the species).   Non-living things do not do these things.   Even before the mother is aware that she is pregnant, a distinct, unique life has begun his or her existence inside her.

Furthermore, that life is unquestionably human.   A human being is a member of the species homo sapiens.   Human beings are products of conception, which is when a human male sperm unites with a human female oocyte (egg).   When humans procreate, they don't make non-humans like slugs, monkeys, cactus, bacteria, or any such thing.   Emperically verifiable proof is as close as your nearest abortion clinic: send a sample of an aborted fetus to a laboratory and have them test the DNA to see if its human or not.   Genetically, a new human being comes into existence from the earliest moment of conception.",It is Murder,against,[16]
39,39,1582733989-639,https://www.debate.org/opinions/should-abortion-be-legal,"When you get an abortion its murder therefore is illegal.   At 2 weeks old the fetus has a heartbeat so, that means that is living. If you want an abortion think about all the family's that cant have babies and would die to have yours. Just think before you kill.",Abortions should not be legal.,against,[16]
40,40,1582733989-507,https://www.debate.org/opinions/should-abortion-be-legal,"What if you were the fetus in the womb? What if your mother chose abortion? Where would you be today? You wouldn't be here to read this. So choose life for your children's sake and your child's children's sake. Because when you take away one life, you take away many. My mother chose life and I'm glad she did.",What if it was you?,against,[16]
41,41,1582733989-629,https://www.debate.org/opinions/should-abortion-be-legal,"The only argument that i see from all of you guys who are for abortion is that a woman could be raped and she shouldn't have to deal with that.   That is true, she shouldn't, but there are other options other than abortion such as adoption.   The fetus is as much of a human being as we are, and it is as bad as going and murdering   another human as it is to have an abortion.   Would you want to be conceived, only to die and not get a chance to live in this world as we did.   You should feel ashamed of yourselves to have ever thought that abortion is the parents choice.   Its never our choice, just as it isn't our choice to commit homicide on another.   I will close with this.
I have noticed everyone who is for abortion has been born- Ronald Reagan.",No way ever should it be legal,against,[16]
42,42,1582733989-780,https://www.debate.org/opinions/should-abortion-be-legal,"If a woman were murdered by her husband (or whoever...) the husband would be charged for the murder of one person, his wife. If it was later found his wife was pregnant when she was murdered, the husband would be charged for TWO deaths. It is irrelevant whether she had been pregnant for a week or nine months, she was with child. So how does it make sense to say that abortion is not murder? It doesn't.",Abortion Is MURDER,against,[16]
43,43,1582733989-509,https://www.debate.org/opinions/should-abortion-be-legal,A baby is living in the womb and deserves a chance. If your raped give the baby away. Pro-abortionists say that outlawing abortion would restrict a woman’s right to privacy. Is that right absolute? Does somebody’s right to privacy exceed another’s right to live? God created life and it is a sin to take it away.,PRO LIFE always,against,[18]
44,44,1582733949-489,https://www.debate.org/opinions/is-abortion-moral,"Having control over one's body does not justify the taking of a life. Murder is murder. Some tend to trivialize the issue of when life starts. If a child is born at 40 weeks gestation he/she is considered a life. What if that child was born at 39 weeks? Is he considered viable? How about 38 or 30? How many days can we tick back before we are able to say ""this life is no good -let's dispose of it?"" 

To put it simply, life begins at conception, and to voluntarily extinguish life is called murder!",Inconvenience is not a morality,against,[16]
45,45,1582733989-702,https://www.debate.org/opinions/should-abortion-be-legal,Abortion is terminating a human life. If someone were to become pregnant and had the thought of getting an abortion is upsetting because if one did not want to get pregnant in the first place or thought it would ruin their life they shouldn't have has sex in the 1st place,No never right!,against,[24]
46,46,1582733989-643,https://www.debate.org/opinions/should-abortion-be-legal,"If its the man and woman fault for getting pregnant than why should the baby get the consequence, and also the woman suffers so much psychological damage, because killing is killing. The baby shouldn't have to suffer the consequences of his parents. Every life is precious, a baby is a baby",Abortion is murder,against,"[16, 20]"
47,47,1582733989-617,https://www.debate.org/opinions/should-abortion-be-legal,"The   fetus has the right to live and become a child like others. This is not fair   to kill it. The fetus did not do any crime, it is innocent. It has a life and should be given a chance to live. By killing it you are doing   a crime. You may regret because one day this unborn baby can become great person.

Abortion should not eliminate the rights of the unborn child to life, freedom and quest for happiness.Either bring the baby up or give it away for adoption.",Innocent life are being killed,against,[16]
48,48,1582733989-778,https://www.debate.org/opinions/should-abortion-be-legal,"I personally do not agree with abortion, It SHOULD be illegal.... But it never will be because according to America's rights, women have the choice to kill their babies. Even if someone agrees that the baby actually is a life-form in the womb (which is still a human life-form no matter what stage it is at), they may say that women who are raped or unplanned should be allowed to abort their babies. I say they shouldn't for two reasons. The first, because their babies are their own and even if they did not expect it, they still have an orphanage or anywhere else they can go to live the rest of their lives. And if it was unplanned, it's simply being selfish and cruel. The second is because most women who abort their babies because of rape is a small percentage compared to those who abort because they did not plan for it. If a teenager gets pregnant and doesn't want her parents to know, that person is being selfish for the wrong that she did. It's wrong for her to end her baby's life before it starts because of her secrecy. It shouldn't be, but it nonetheless will continues long as adoption is an option, abortion is selfish. People should be able to choose whether or not they want to have children for themselves. If a women does not feel like she has the ability to carry the baby for 9 months or give birth or take care of the baby after then it should be okay. And as for giving the baby up to adopt, that's fine and dandy but as soon as a women becomes a mother by having the kid an immediate connection is formed. And baby has heard moms heartbeat for 9 months and mother has felt baby tumbling in her stomach. A bond is created even before birth and the ability to have an abortion can stop a bond from forming which can stop heartbreak later on. I just feel that Another life should not be wasted because someone did not choose to use protection know many will argue about rape, but those make up 1-2% of abortions. But, I'm not going to push my opinion on someone if they get it. But I won't support them. That's just my opinion.",Should not be legal,against,"[16, 24]"
49,49,1582733949-463,https://www.debate.org/opinions/is-abortion-moral,"Killing children is never moral. Simply the way they kill them is inexcusably inhumane.  There are four ways that unborn babies are killed. Look at this quote from an information site

(1) The suction method.

During an early pregnancy, the doctor can insert a tube through the opening of the mother’s womb, and connect it to a suction apparatus. The vacuum on the apparatus is so powerful that the fetus is instantly broken up into a mass of blood and tissue, and quickly passes through the tube, and is collected in a bottle.

(2) The forceps method.

Sometimes the doctor dilates the mouth of the womb, and inserts a spoon-like instrument with sharp edges (called a forceps). He reaches in with this tool and scrapes out the baby (and also the placenta). Sometimes he has to cut the baby into several pieces in order to get it out. The larger parts are cut into smaller pieces and spooned out piece by piece, and then discarded.

(3) The Caesarean-type method.

Larger babies may require an abdominal operation. The womb is cut open and the baby is lifted out. It usually squirms and moves its arms and legs; it tries to breathe; the heart often continues to beat; but the organs are not sufficiently developed, and so within a few hours, it usually dies.

(4) The chemical method.

The doctor sticks a large needle through the wall of the mother’s abdomen and into the womb. A strong, salt-water solution is injected. The baby thrashes around for a few moments, and then soon dies. Within twenty-four hours, labor starts, and the dead body is delivered.

Abortion is nothing but barbarianism in the Twentieth Century! No wonder some nurses are rebelling. They are expected to finish the work of abortion, by taking the crushed, bloody mass of the fetus, and then disposing of it.

Would you call this a woman's choice?",The 2013 massacre,against,[16]
50,50,1582733992-784,https://www.debate.org/opinions/pro-choice-or-not,"I'm pro-life for two reasons:

1. Life begins a conception when new DNA is created, Making abortion the killing of a person (AKA murder but legal)

2. I have found many arguments from pro choice don't make sense when I ask questions. Examples:
""It's the women's body"" --- ""Isn't the baby's body? "" 
""It's a form of birth control""   --- ""Is it right at the price of a life? ""
""It's a clump of cells"" --- ""Aren't you a clump of cells? ""
""It's a daily and financial inconvenience to the mother"" --- ""Your 90 year old father is the same thing but why can't you kill him? ""

a many more. . . . .","""A person's a person, No matter how small. "" (quote from Dr. Seuss)",against,[16]
51,51,1582733989-761,https://www.debate.org/opinions/should-abortion-be-legal,You people are saying that you want babies to be killed and your parent might want to see your baby when you have one. So you guys need to think about this more often and just think how you would feel if you were the baby. Give it some time to think ok?,Abortion is a big no!,against,[16]
52,52,1582733989-738,https://www.debate.org/opinions/should-abortion-be-legal,"Why stint women abort 
Women think some times aborting is the solution but actually they are killing a baby inside there body   instead of killing them they could have them and then if they don't like the baby they shod give them to an adoption even if a baby tacks responsibility care for your actions",Women shouldn't abort,against,[16]
53,53,1582733992-787,https://www.debate.org/opinions/pro-choice-or-not,"I could give a list of reasons explaining how abortion ends a human life. However, That is an old (still unbeaten) argument. So I also approach it like this. Abortion affirms the disease in our culture that is fear of responsibility. People do not want the responsibility of a child because they could not wait until marriage, Graduation, And a solid job. Or they just engage in promiscuous sexual debauchery believing that there will be no consequence for their not responsible actions. 

So what does that breed. A delinquent generation. Abortion affirms freedom of responsibility that manifests itself in fatherless and motherless homes. It also shows up in the form of welfare leeches. It manifests itself in the form of whiny and weeping children that just happen to be 30 years old. 

So what about ""My body"" or ""you're a male you don't understand"". Well first of all, That demeans the child even further by saying my body my choice. That implies that the child is a cancer or a disease that the mother has control over treatment. I may not understand the nitty gritty of pregnancy but I do know and understand the plethora of things wrong with abortion.",I'm in no way shape or form pro-choice,against,[24]
54,54,1582733989-674,https://www.debate.org/opinions/should-abortion-be-legal,"If abortions are legal, this offers a way out for people who have conceived children.   When people know this, they know that there is a recourse even if they have unprotected sex, and so there is less of a disincentive to conceive even if you're not willing to have the child.   Second, I've heard abortion used as a issue for feminists. If a woman has a right to abort a baby that she consensually conceived with a man (rape is another issue), then what more right does she have to abort it than the man? If we're really going for equality, men should have just as much choice about the abortion as women. Thirdly, aborting children shows a decline in the respect for human life. A women chose to have sex, and she and the man need to take responsibility for it. The child will undoubtedly be glad to be given the chance to live.",Consistency and Responsibility,against,"[24, 26]"
55,55,1582733927-438,https://www.debate.org/opinions/are-you-with-or-against-abortion,"It is wrong for a woman to kill her baby in her womb. Life is what really counts in our world today. God gave us life. So should we do the same with others, including unborn babies. Every baby is a special gift that women received from God. That is my opinion about abortion and why I am not supporting it.",I do not support abortion!!!,against,[18]
56,56,1582733989-660,https://www.debate.org/opinions/should-abortion-be-legal,"Whatever the situation abortion is a Crime, it shouldn't be legal.
In my opinion there's no difference between a killer and a woman who had an abortion, I think she's a murderer as well, and should be punished.
Personally , I'm 16 and I really think teenagers should be more responsible , a baby is a human being you cannot decide of a child's death. (PS: I'm not judging anyone, though!!)",Abortion is a crime,against,[16]
57,57,1582733989-517,https://www.debate.org/opinions/should-abortion-be-legal,Abortion should not be legal cause your killing your own child before its born. If you don't want your child just give it up for adoption. There's people out there who want kids and cant have any so why kill a kid when you can give it up to adopting. Its their fault for spreading their legs,Killing a baby,against,[16]
58,58,1582733935-458,https://www.debate.org/opinions/should-i-get-an-abortion,"Are you married? Or do you have a boyfriend? Did you sleep with multiple men? 
Regardless you have something that is important. You might have a doctor or singer or an athlete or a scientist in there. You might not care for it but when you become older you will understand that this child is something that will carry your legacy and can take care of you. 
People in Japan and in Europe are dying of old age and are found days later. They have no family no children and they vanish off the earth. So please do yourself a favor and let the child live. 
It might not turn out to be a successful child but that child will be what you leave. 

All those people who tell you to have an abortion have never had one before they never bled in pain and suffered infertility and will not know the joy of having a child.",Logic says no,against,[29]
59,59,1582733989-530,https://www.debate.org/opinions/should-abortion-be-legal,"I think it should be illegal because what if that person changes the whole world? What if they are president some day, you never know. IT IS MURDER!!! And anyway that could be the person that stops abortion. I mean if you did not want the baby you could just give it to a adoption center.",No this is murder!!!,against,"[29, 16]"
